date,agent_id,model,input_tokens,output_tokens,cost_usd,requests
2025-12-02,AGT-0001,gpt-4o-mini,6684,3599,0.0032,6
2025-12-03,AGT-0001,gpt-4o-mini,5632,3033,0.0027,5
2025-12-04,AGT-0001,gpt-4.1,7219,3887,0.0683,7
2025-12-05,AGT-0001,gpt-4o-mini,7390,3979,0.0035,7
2025-12-06,AGT-0001,gpt-4.1,4477,2411,0.0424,4
2025-12-07,AGT-0001,gpt-4.1,2913,1568,0.0276,2
2025-12-08,AGT-0001,gpt-4o-mini,5798,3122,0.0027,5
2025-12-09,AGT-0001,gpt-4o,11402,6139,0.0899,11
2025-12-10,AGT-0001,gpt-4o-mini,8831,4755,0.0042,9
2025-12-11,AGT-0001,gpt-4o,9312,5014,0.0734,9
2025-12-12,AGT-0001,gpt-4.1,11510,6198,0.1089,11
2025-12-13,AGT-0001,gpt-4o-mini,2942,1584,0.0014,3
2025-12-14,AGT-0001,gpt-4o-mini,3355,1806,0.0016,3
2025-12-15,AGT-0001,gpt-4o,7966,4289,0.0628,8
2025-12-16,AGT-0001,gpt-4.1,7528,4053,0.0712,7
2025-12-17,AGT-0001,gpt-4o,8078,4350,0.0637,8
2025-12-18,AGT-0001,gpt-4o-mini,10771,5799,0.0051,11
2025-12-19,AGT-0001,gpt-4.1,10368,5582,0.0981,10
2025-12-20,AGT-0001,gpt-4o-mini,3119,1679,0.0015,3
2025-12-21,AGT-0001,gpt-4o,3518,1894,0.0277,3
2025-12-22,AGT-0001,gpt-4.1,5518,2971,0.0522,5
2025-12-23,AGT-0001,gpt-4.1,6511,3505,0.0616,6
2025-12-24,AGT-0001,gpt-4o-mini,9338,5028,0.0044,9
2025-12-25,AGT-0001,gpt-4o-mini,6772,3646,0.0032,6
2025-12-26,AGT-0001,gpt-4.1,7624,4105,0.0721,7
2025-12-27,AGT-0001,gpt-4.1,4076,2194,0.0386,4
2025-12-28,AGT-0001,gpt-4o-mini,3987,2147,0.0019,4
2025-12-29,AGT-0001,gpt-4.1,11418,6148,0.108,11
2025-12-30,AGT-0001,gpt-4o,6105,3287,0.0481,6
2025-12-31,AGT-0001,gpt-4o,5824,3136,0.0459,5
2026-01-01,AGT-0001,gpt-4o-mini,9398,5060,0.0044,9
2026-01-02,AGT-0001,gpt-4o,9655,5199,0.0761,9
2026-01-03,AGT-0001,gpt-4.1,2557,1377,0.0242,2
2026-01-04,AGT-0001,gpt-4o,2271,1222,0.0179,2
2026-01-05,AGT-0001,gpt-4.1,11227,6045,0.1062,11
2026-01-06,AGT-0001,gpt-4o,8642,4653,0.0681,8
2026-01-07,AGT-0001,gpt-4o-mini,10123,5451,0.0048,10
2026-01-08,AGT-0001,gpt-4o,10083,5429,0.0795,10
2026-01-09,AGT-0001,gpt-4o-mini,5683,3060,0.0027,5
2026-01-10,AGT-0001,gpt-4o-mini,2410,1297,0.0011,2
2026-01-11,AGT-0001,gpt-4.1,4477,2410,0.0424,4
2026-01-12,AGT-0001,gpt-4o,7051,3796,0.0556,7
2026-01-13,AGT-0001,gpt-4.1,9901,5331,0.0937,10
2026-01-14,AGT-0001,gpt-4o,9161,4933,0.0722,9
2026-01-15,AGT-0001,gpt-4o,8497,4575,0.067,8
2026-01-16,AGT-0001,gpt-4o-mini,5182,2790,0.0025,5
2026-01-17,AGT-0001,gpt-4.1,2946,1586,0.0279,3
2026-01-18,AGT-0001,gpt-4.1,4297,2314,0.0407,4
2026-01-19,AGT-0001,gpt-4o-mini,11481,6182,0.0054,11
2026-01-20,AGT-0001,gpt-4o-mini,11214,6038,0.0053,11
2026-01-21,AGT-0001,gpt-4o-mini,7952,4282,0.0038,8
2026-01-22,AGT-0001,gpt-4o-mini,8581,4620,0.0041,8
2026-01-23,AGT-0001,gpt-4o-mini,8969,4829,0.0042,9
2026-01-24,AGT-0001,gpt-4o-mini,3990,2148,0.0019,4
2026-01-25,AGT-0001,gpt-4o-mini,3154,1698,0.0015,3
2026-01-26,AGT-0001,gpt-4.1,9248,4980,0.0875,9
2026-01-27,AGT-0001,gpt-4.1,11041,5945,0.1045,11
2026-01-28,AGT-0001,gpt-4o,8584,4622,0.0677,8
2026-01-29,AGT-0001,gpt-4.1,7933,4271,0.0751,8
2026-01-30,AGT-0001,gpt-4o,7735,4165,0.061,7
2026-01-31,AGT-0001,gpt-4o,2805,1510,0.0221,2
2026-02-01,AGT-0001,gpt-4o,3390,1825,0.0267,3
2026-02-02,AGT-0001,gpt-4.1,7280,3920,0.0689,7
2026-02-03,AGT-0001,gpt-4o-mini,8553,4605,0.004,8
2026-02-04,AGT-0001,gpt-4.1,11129,5992,0.1053,11
2026-02-05,AGT-0001,gpt-4.1,6986,3761,0.0661,7
2026-02-06,AGT-0001,gpt-4o-mini,10303,5547,0.0049,10
2026-02-07,AGT-0001,gpt-4o,2612,1406,0.0206,2
2026-02-08,AGT-0001,gpt-4o,3456,1861,0.0273,3
2026-02-09,AGT-0001,gpt-4o-mini,7732,4163,0.0037,7
2026-02-10,AGT-0001,gpt-4o,7901,4254,0.0623,8
2026-02-11,AGT-0001,gpt-4o-mini,6078,3273,0.0029,6
2026-02-12,AGT-0001,gpt-4.1,9291,5003,0.0879,9
2026-02-13,AGT-0001,gpt-4o,6460,3478,0.0509,6
2026-02-14,AGT-0001,gpt-4o,3120,1680,0.0246,3
2026-02-15,AGT-0001,gpt-4o-mini,3372,1815,0.0016,3
2026-02-16,AGT-0001,gpt-4o-mini,10367,5582,0.0049,10
2026-02-17,AGT-0001,gpt-4o-mini,6801,3662,0.0032,6
