finding_id,agent_id,title,severity,status,detected_date
DSN-00001,AGT-0040,eval suite < 50 prompts,Medium,in_progress,2026-03-17
DSN-00002,AGT-0028,training data lineage missing,Medium,remediated,2026-05-14
DSN-00003,AGT-0022,model card incomplete,Low,open,2026-05-27
DSN-00004,AGT-0009,RAG corpus missing PII filter,High,open,2026-05-01
DSN-00005,AGT-0034,no rate limit configured,Medium,false_positive,2026-04-17
DSN-00006,AGT-0013,no rate limit configured,Medium,open,2026-03-16
DSN-00007,AGT-0039,training data lineage missing,Medium,accepted_risk,2026-05-13
DSN-00008,AGT-0042,eval suite < 50 prompts,Medium,in_progress,2026-03-01
DSN-00009,AGT-0046,tools wildcard granted,Critical,remediated,2026-05-13
DSN-00010,AGT-0017,RAG corpus missing PII filter,High,remediated,2026-03-23
DSN-00011,AGT-0016,missing system prompt hardening,High,open,2026-05-06
DSN-00012,AGT-0044,eval suite < 50 prompts,Medium,remediated,2026-03-19
DSN-00013,AGT-0051,missing system prompt hardening,High,open,2026-05-13
DSN-00014,AGT-0028,model card incomplete,Low,remediated,2026-04-16
DSN-00015,AGT-0013,model card incomplete,Low,in_progress,2026-05-17
DSN-00016,AGT-0056,no human-in-the-loop on sensitive tools,Critical,open,2026-03-17
DSN-00017,AGT-0019,training data lineage missing,Medium,open,2026-03-22
DSN-00018,AGT-0028,eval suite < 50 prompts,Medium,remediated,2026-05-17
DSN-00019,AGT-0019,eval suite < 50 prompts,Medium,open,2026-05-17
DSN-00020,AGT-0015,model card incomplete,Low,remediated,2026-05-19
DSN-00021,AGT-0057,training data lineage missing,Medium,remediated,2026-05-16
DSN-00022,AGT-0032,RAG corpus missing PII filter,High,remediated,2026-04-26
DSN-00023,AGT-0021,no rate limit configured,Medium,open,2026-03-18
DSN-00024,AGT-0029,RAG corpus missing PII filter,High,open,2026-03-10
DSN-00025,AGT-0005,no rate limit configured,Medium,accepted_risk,2026-05-01
DSN-00026,AGT-0050,no rate limit configured,Medium,open,2026-04-12
DSN-00027,AGT-0014,no human-in-the-loop on sensitive tools,Critical,open,2026-03-09
DSN-00028,AGT-0058,no human-in-the-loop on sensitive tools,Critical,remediated,2026-03-23
DSN-00029,AGT-0025,eval suite < 50 prompts,Medium,remediated,2026-05-21
DSN-00030,AGT-0006,model card incomplete,Low,remediated,2026-05-06
DSN-00031,AGT-0046,eval suite < 50 prompts,Medium,remediated,2026-05-02
DSN-00032,AGT-0014,no rate limit configured,Medium,remediated,2026-04-28
DSN-00033,AGT-0005,training data lineage missing,Medium,open,2026-05-29
DSN-00034,AGT-0050,training data lineage missing,Medium,remediated,2026-05-09
DSN-00035,AGT-0041,eval suite < 50 prompts,Medium,remediated,2026-05-26
DSN-00036,AGT-0055,tools wildcard granted,Critical,remediated,2026-05-21
DSN-00037,AGT-0009,eval suite < 50 prompts,Medium,open,2026-04-20
DSN-00038,AGT-0047,RAG corpus missing PII filter,High,open,2026-04-09
DSN-00039,AGT-0017,tools wildcard granted,Critical,in_progress,2026-04-18
DSN-00040,AGT-0002,missing system prompt hardening,High,in_progress,2026-04-29
DSN-00041,AGT-0011,no human-in-the-loop on sensitive tools,Critical,open,2026-03-15
DSN-00042,AGT-0035,no human-in-the-loop on sensitive tools,Critical,false_positive,2026-03-02
DSN-00043,AGT-0022,eval suite < 50 prompts,Medium,open,2026-05-19
DSN-00044,AGT-0028,training data lineage missing,Medium,remediated,2026-03-03
DSN-00045,AGT-0006,no human-in-the-loop on sensitive tools,Critical,in_progress,2026-03-16
DSN-00046,AGT-0022,tools wildcard granted,Critical,in_progress,2026-04-27
DSN-00047,AGT-0026,missing system prompt hardening,High,open,2026-03-30
DSN-00048,AGT-0012,eval suite < 50 prompts,Medium,accepted_risk,2026-05-16
DSN-00049,AGT-0051,eval suite < 50 prompts,Medium,open,2026-05-17
DSN-00050,AGT-0021,training data lineage missing,Medium,false_positive,2026-04-30
DSN-00051,AGT-0001,training data lineage missing,Medium,accepted_risk,2026-03-19
