event_ts,agent_id,event_type,severity,blocked
2026-04-01T23:29:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-01T08:19:00,AGT-0001,rate_limit_hit,Low,true
2026-04-02T14:30:00,AGT-0001,prompt_injection_attempt,High,true
2026-04-02T12:45:00,AGT-0001,rate_limit_hit,Low,true
2026-04-03T08:18:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-05T07:48:00,AGT-0001,rate_limit_hit,Low,true
2026-04-05T05:49:00,AGT-0001,policy_violation,High,false
2026-04-06T18:43:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-06T22:55:00,AGT-0001,rate_limit_hit,Low,true
2026-04-07T15:30:00,AGT-0001,hallucination_flagged,Medium,true
2026-04-08T00:04:00,AGT-0001,prompt_injection_attempt,High,true
2026-04-08T06:45:00,AGT-0001,pii_leak_blocked,High,false
2026-04-09T06:41:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-09T01:51:00,AGT-0001,pii_leak_blocked,Medium,true
2026-04-10T22:05:00,AGT-0001,jailbreak_attempt,High,true
2026-04-13T03:15:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-13T13:57:00,AGT-0001,rate_limit_hit,Low,true
2026-04-14T02:34:00,AGT-0001,pii_leak_blocked,Medium,true
2026-04-14T00:39:00,AGT-0001,prompt_injection_attempt,High,false
2026-04-15T17:43:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-15T01:16:00,AGT-0001,prompt_injection_attempt,High,true
2026-04-16T20:02:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-04-16T12:53:00,AGT-0001,prompt_injection_attempt,High,true
2026-04-16T20:57:00,AGT-0001,jailbreak_attempt,Critical,false
2026-04-17T07:08:00,AGT-0001,pii_leak_blocked,High,true
2026-04-17T05:56:00,AGT-0001,tool_misuse_blocked,High,true
2026-04-18T03:59:00,AGT-0001,system_prompt_disclosed,High,true
2026-04-18T08:40:00,AGT-0001,tool_misuse_blocked,High,false
2026-04-18T11:22:00,AGT-0001,prompt_injection_attempt,High,true
2026-04-19T20:48:00,AGT-0001,rate_limit_hit,Low,false
2026-04-20T05:54:00,AGT-0001,pii_leak_blocked,High,true
2026-04-20T09:08:00,AGT-0001,pii_leak_blocked,Medium,true
2026-04-20T12:10:00,AGT-0001,pii_leak_blocked,Medium,true
2026-04-22T08:16:00,AGT-0001,pii_leak_blocked,Medium,true
2026-04-22T12:18:00,AGT-0001,pii_leak_blocked,High,true
2026-04-24T11:25:00,AGT-0001,jailbreak_attempt,High,false
2026-04-24T13:47:00,AGT-0001,tool_misuse_blocked,High,true
2026-04-25T13:18:00,AGT-0001,embedding_anomaly,Medium,true
2026-04-26T21:49:00,AGT-0001,rate_limit_hit,Low,true
2026-04-26T14:13:00,AGT-0001,rate_limit_hit,Low,true
2026-04-26T16:08:00,AGT-0001,system_prompt_disclosed,Critical,true
2026-04-27T05:26:00,AGT-0001,tool_misuse_blocked,High,true
2026-04-27T09:14:00,AGT-0001,embedding_anomaly,Low,true
2026-04-29T19:09:00,AGT-0001,policy_violation,Medium,true
2026-04-30T04:20:00,AGT-0001,jailbreak_attempt,High,false
2026-05-01T05:15:00,AGT-0001,tool_misuse_blocked,High,false
2026-05-01T13:15:00,AGT-0001,rate_limit_hit,Low,true
2026-05-01T10:09:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-05-04T14:16:00,AGT-0001,embedding_anomaly,Medium,true
2026-05-04T07:39:00,AGT-0001,tool_misuse_blocked,High,true
2026-05-05T14:38:00,AGT-0001,pii_leak_blocked,High,true
2026-05-06T03:27:00,AGT-0001,rate_limit_hit,Low,true
2026-05-06T10:06:00,AGT-0001,rate_limit_hit,Low,true
2026-05-07T18:38:00,AGT-0001,system_prompt_disclosed,Critical,true
2026-05-07T07:39:00,AGT-0001,policy_violation,High,true
2026-05-08T17:35:00,AGT-0001,policy_violation,High,true
2026-05-08T08:21:00,AGT-0001,prompt_injection_attempt,High,false
2026-05-08T12:57:00,AGT-0001,prompt_injection_attempt,High,true
2026-05-09T09:20:00,AGT-0001,rate_limit_hit,Low,true
2026-05-09T16:27:00,AGT-0001,embedding_anomaly,Medium,false
2026-05-11T09:23:00,AGT-0001,policy_violation,Medium,true
2026-05-11T09:44:00,AGT-0001,rate_limit_hit,Low,true
2026-05-12T10:09:00,AGT-0001,system_prompt_disclosed,Critical,true
2026-05-15T21:36:00,AGT-0001,pii_leak_blocked,High,false
2026-05-17T06:31:00,AGT-0001,policy_violation,Medium,true
2026-05-17T19:58:00,AGT-0001,hallucination_flagged,Low,true
2026-05-18T00:23:00,AGT-0001,pii_leak_blocked,High,false
2026-05-19T22:47:00,AGT-0001,prompt_injection_attempt,High,true
2026-05-19T13:04:00,AGT-0001,jailbreak_attempt,Critical,true
2026-05-20T13:59:00,AGT-0001,rate_limit_hit,Low,true
2026-05-22T07:39:00,AGT-0001,pii_leak_blocked,High,true
2026-05-22T03:34:00,AGT-0001,embedding_anomaly,Medium,true
2026-05-22T19:29:00,AGT-0001,prompt_injection_attempt,High,true
2026-05-23T19:58:00,AGT-0001,prompt_injection_attempt,Critical,true
2026-05-24T07:54:00,AGT-0001,pii_leak_blocked,High,true
2026-05-25T22:25:00,AGT-0001,system_prompt_disclosed,Critical,false
